Gene1	Gene2
Q96JB2	Q9H9E3
P60709	Q9Y265
O15372	Q9Y262
P52272	Q9UQ35
Q969G3	Q92922
P33176	Q9H0B6
Q969G3	Q96GM5
P60709	Q9Y230
Q9UKV3	O00422
Q09028	P28370
P51531	P51532
O00303	Q9Y262
O14979	P09651
Q15393	Q9UQ35
Q9UIG0	Q02880
Q969G3	Q8TAQ2
Q9BUI4	Q9Y535
Q13098	Q9BT78
Q12905	Q12906
Q9NR30	P06748
O14497	Q92922
O95163	Q6IA86
Q9H204	O75586
Q92922	Q8TAQ2
Q13098	Q9H9Q2
O76071	Q96T76
P68400	Q96ST3
O00743	Q5H9R7
Q15427	Q9UQ35
Q6IA86	Q96EB1
O96019	Q92922
O60934	Q15554
Q92878	Q15554
Q9UIG0	Q92922
P31943	Q9UQ35
P09651	Q9UQ35
P49959	Q15554
P49959	Q9NYB0
O94776	Q8WXI9
Q8NFD5	Q92922
P11940	P09651
Q15291	O15047
Q14839	O94776
Q14839	Q09028
Q969G3	Q12824
Q8NFD5	Q12824
P09661	Q9UQ35
Q9NWS0	Q9H6T3
Q8NFD5	Q8TAQ2
Q96JB2	Q96MW5
Q15393	O14776
Q9Y4W2	Q8IZL8
Q99459	Q9UQ35
P11142	P55072
P09234	Q9UQ35
Q14839	Q16576
Q14839	O95983
Q9P0U4	Q9UPS6
P17844	Q9UQ35
Q9UBL3	O15047
Q14839	Q92922
Q96L91	Q9Y230
Q6PI98	Q9ULG1
Q12873	Q92769
O96019	Q8TAQ2
Q9Y5S9	Q9UQ35
Q00839	P06748
P53350	O14965
P51531	Q92925
P38159	Q9UQ35
O14497	Q8NFD5
P38919	Q9UQ35
Q12873	Q13547
O60506	P09651
P49756	Q8IYB3
Q9ULG1	Q6P4R8
Q9UBQ0	Q96QK1
P61158	O15511
P61160	O15511
P02533	P13647
Q4G0F5	Q96QK1
O95782	Q13492
P35580	P35579
O00401	Q8TF74
Q08211	Q12906
Q00577	Q96QR8
Q08211	Q08945
P10809	P05556
O00268	Q15545
Q13769	Q6I9Y2
Q15545	Q16594
Q6P1X5	Q16594
P61160	P59998
P61201	Q9BT78
Q6P1X5	P49848
O14579	Q9UBF2
Q9UBF2	P61923
O14974	P61586
O15143	P59998
O15143	O15144
O15143	P61160
Q9BT78	Q9UBW8
O15143	O15511
P68400	Q08945
Q06547	Q06546
O60506	P11940
P61201	Q9UBW8
P49848	Q15545
Q9NVA2	Q9UHD8
Q07866	Q9H0B6
P15311	P35241
Q9NVA2	Q16181
P31040	Q9P2R7
P62701	P37108
P31040	P53597
Q9BVK6	P49755
Q9UBU9	P12270
P31040	Q96I99
P38919	P62280
P24534	P15880
Q99613	P62917
P08574	O00217
P24539	P14927
P27797	Q14697
P29401	P60174
P26641	P46777
P07910	P11387
P33897	P56589
P56134	O14949
P06576	O43678
P51659	P22307
P08238	P35579
P08574	Q9UI09
P31040	P47985
P24539	O43674
P08238	P62753
Q99613	O60841
P51668	P61960
P29692	P61313
P06576	Q9Y6M9
P17568	O14949
P27824	Q14697
P04406	P60174
P48047	Q9Y6M9
P54920	P63027
P60842	P62917
Q9Y5S9	P08865
P31040	P14927
O95169	P14927
Q9NVA2	Q99719
P03915	P14927
P24539	O75251
P26641	P62917
P38919	P62847
Q99471	P50990
P08574	O96000
P06576	Q9UI09
P08195	P16070
P20339	P51149
P13929	P14618
P36542	P31930
P08574	O43181
P00846	Q9UI09
P00403	P08574
P27797	P14314
P28288	P56589
P63173	Q9Y5M8
O43181	P14927
P25705	P08574
Q9BY43	O75351
P38919	P61513
O43678	O14949
O75947	Q9UI09
P37837	P29401
P48047	O43181
P06576	P28331
Q9NX14	P14927
P55010	P47914
P51659	P09110
O75947	O14949
P12270	P26368
P60842	P84098
P22102	P22234
P62826	P12270
P24539	Q9Y6M9
P06576	P22695
P36542	Q9UI09
P38919	P62899
Q15287	P62277
P62314	P12270
P48047	P22695
P56134	Q9Y6M9
P20674	P14927
P62333	O00762
P36542	Q9Y6M9
P13639	P39019
Q13243	P12270
P24534	P62424
P19404	P31930
P06576	P31930
P29692	Q07020
Q99436	P51668
P18859	P22695
P28066	O00762
P49721	P62987
P21912	P47985
P23588	P47914
Q14152	P05386
P36542	P28331
Q9Y2S0	Q9Y535
Q8N7H5	Q9Y5B9
O95602	P19388
Q9Y2S0	P05423
O14929	Q16576
Q13435	P23193
P23246	O14776
P08107	Q9UQ35
P11802	P62136
Q15019	Q9UQ35
Q14204	P61244
Q9Y3C8	P61960
Q8N6M0	Q96FW1
P68104	Q9UQ35
O75955	Q14254
P41227	Q6N069
Q9Y535	O75575
Q96RU3	O00401
O75449	Q9BVA0
P31946	P11021
P25815	Q9Y2Z0
Q16881	Q9BRA2
P41227	Q9BXJ9
O75494	Q13595
P43487	P18754
P15924	Q92817
P68400	Q99733
P61160	O15144
P61160	O15145
Q10570	Q6UN15
O60231	P62312
P55769	P62913
P49411	P18621
O00567	Q02543
O00567	O76021
P49411	P62829
Q9NR30	P62899
Q12905	P62899
Q12906	P62899
Q9NR30	P61513
P55769	P46777
Q9NR30	Q02878
P22087	Q02878
P56537	P18124
P55769	P18124
Q9Y3B7	Q9NYK5
Q6P1L8	Q9NQ50
Q96A35	Q9NQ50
Q9NYK5	Q9NQ50
Q9BZE1	Q8IXM3
Q96A35	Q9H9J2
Q9BYC8	Q9H9J2
Q96A35	Q9BRJ2
Q96DV4	Q9BRJ2
Q9BYC8	Q8N5N7
Q96DV4	Q8N5N7
Q9NQ50	Q8N5N7
Q9UKM9	Q13151
Q9NR30	P62280
P22087	P62277
Q9Y2X3	P62277
Q14978	P62263
Q9NR30	P62847
Q12905	P62847
Q12906	P62847
P55769	P62847
O00567	P62753
P22087	P62241
Q13123	Q05519
Q13123	P84103
Q13123	Q13243
O95232	Q16629
O00422	O60264
O00422	Q8TAQ2
P51532	Q6STE5
Q14498	Q2TAY7
Q07955	Q2TAY7
P84103	Q2TAY7
Q9Y3B4	Q53GS9
Q05519	Q53GS9
Q96FV9	Q13769
Q13769	Q86W42
Q96FV9	Q8NI27
Q86W42	Q6I9Y2
Q8WWY3	Q15459
O15144	O15511
O15143	O15145
O00203	O14617
P55769	O00567
O75792	Q8TDP1
Q6STE5	Q12824
Q9Y3B7	Q9BYD1
Q8NI27	Q13769
O00567	Q9Y2X3
Q8WWY3	O94906
P55769	Q9Y2X3
Q96FV9	Q6I9Y2
Q96FV9	Q86W42
Q9P253	P49754
Q8NI27	Q86W42
Q9BYD2	Q9BZE1
Q5TBB1	Q8TDP1
P55769	Q02878
P22087	P62847
P55769	P62753
O43290	P26368
O00567	Q02878
O00567	P62244
O00567	P62241
P19338	P46778
Q9H1D9	O15318
P22087	P62280
O00567	P62277
Q96J01	Q13769
Q9Y224	Q92499
O94906	O43290
O75792	Q5TBB1
O00422	Q12824
P22087	Q9Y2X3
Q12906	P61353
Q12906	P50914
Q12906	Q8IXM3
P04908	P33778
Q9UMS4	P62316
Q12906	P39023
P22087	P46777
Q9UMS4	O43395
Q96FV9	Q96J01
Q9H269	P49754
O43390	P11940
Q9BQG0	P46777
P49411	P62913
Q9UMS4	O43172
P04908	P62805
O00567	P84098
P22087	P18621
P49411	P62917
O00567	P62081
P56537	Q02543
P49406	Q96A35
P49848	Q9HBM6
Q9BPX3	O95347
P49411	P62280
P49411	P62244
Q8NI27	Q6I9Y2
Q9P015	Q9NYK5
Q9P2I0	Q6UN15
Q14978	O00567
P82933	P82663
P22087	P84098
Q96J01	Q6I9Y2
Q9UMS4	P09661
Q9Y6G9	O43237
O43395	P62316
Q96J01	Q86W42
Q12905	P46777
O00567	P46777
Q13123	Q16629
Q9BYD2	P49406
P05141	P18124
Q9BQG0	P62280
Q9BVP2	P62913
P49406	Q8N5N7
P22087	P62913
Q9Y2X3	P62081
O15145	O15511
P52272	P62906
Q9BYC8	Q9BZE1
O00567	P23396
O43395	Q12874
P04908	P62807
Q9UMS4	O94906
Q8WWY3	O43290
Q9UKV3	O75934
Q9HCE1	Q13243
P55769	Q02543
Q15021	Q9BPX3
Q6P1L8	P49406
P22087	Q02543
P22087	P62244
P52272	P62753
P09001	Q16540
P55769	Q07020
Q12906	P62277
Q96AX1	P49754
Q9BVP2	Q02878
Q8WWY3	Q12874
Q13404	Q15819
Q00839	P62280
P49411	P15880
O43395	Q13243
P22087	P36578
Q12906	P26373
Q9Y2R9	P82663
Q96DV4	Q9NQ50
Q13123	P26368
O00567	P18124
Q9Y224	Q9Y3I0
P42025	Q13561
O75436	Q96QK1
Q12906	P36578
Q9BZE1	Q9NYK5
Q9Y2X3	P84098
P11940	Q9UKM9
P33176	Q9NSK0
Q8NI27	Q96J01
Q12906	P62249
Q9NX20	Q9NQ50
Q9BQG0	P62277
P49411	P62266
Q92620	O95391
P68363	P07437
P52272	P18124
Q00839	P62847
P22087	P55769
Q4G0F5	Q9UBQ0
P23246	Q01081
Q9NPF5	Q6ZRS2
P49411	P18124
Q12906	P62241
P19338	P84098
Q00839	P46777
P07951	P67936
Q9UMS4	Q15393
P09001	Q9BYD2
P20671	P62805
Q9UQ35	Q86V81
Q9H270	Q96JC1
O95486	P53992
Q00839	P62244
Q6P1L8	Q9NYK5
P49406	Q9BRJ2
O43395	O43290
Q9Y3I0	Q92499
O00567	P61313
Q9BRX5	Q9BRT9
Q9UMS4	P08621
O75146	Q13492
Q8WTW3	Q96MW5
P52272	Q9UKM9
P62316	O43290
Q15003	O95347
Q9BZE1	Q8N5N7
Q9BZE1	Q9BRJ2
P09493	P67936
Q99613	Q9Y262
P55769	P62244
P67870	Q08945
Q9BYD1	P82933
Q99613	Q7L2H7
Q6P1L8	Q96DV4
Q9BVP2	O00567
Q00839	P62266
P19338	P46777
Q9BQG0	P62263
O00567	Q07020
P10155	Q99973
Q9BQG0	P62750
Q9BVP2	P62081
Q7Z7H8	P52815
P49406	Q9H9J2
Q9Y3B4	O75934
P22087	P18124
Q12906	P62917
Q9Y2X3	P62280
P20671	P33778
Q8IXM3	Q9H9J2
Q9P015	P49406
Q9Y2X3	Q02543
Q9P015	Q96DV4
Q9UMS4	Q9HCS7
P82675	P82673
O96008	O94826
Q9P015	Q9NQ50
O14979	P14866
P04908	P20671
Q9H0E2	Q15654
O00567	P62913
P22087	P62081
Q14978	O76021
Q12905	P62249
Q9BYD1	Q9NRX2
Q15459	O43290
P22087	P62753
Q9BYC8	P82933
Q9BVP2	P46777
P19338	P39023
O00567	P62280
Q9Y4Z0	Q13838
P68400	Q9Y5B9
Q9BZE1	Q96DV4
P55769	P62241
P82650	P82663
O75436	Q9UBQ0
P61513	P26368
Q8TDN6	P46777
Q8WWY3	P09661
Q02218	Q2NL82
Q9UMS4	Q6P2Q9
P52272	P62847
Q9BZI7	Q9BRP8
O75821	Q9Y262
P11021	P34931
O95486	O94855
Q9UMS4	Q12874
Q07866	Q9NSK0
Q9BYD2	Q9H9J2
Q12905	P62701
O14979	P22626
P08237	Q01813
Q96A35	Q9BZE1
P61201	Q9H9Q2
Q9BQG0	P62753
O94776	Q86YP4
Q9BYC8	Q9Y2Q9
P09001	Q9BYD3
Q9UKV3	Q2TAY7
P06753	P67936
P21675	Q9HBM6
Q5T653	Q9Y3B7
Q12906	P84098
P67870	Q9Y5B9
Q13404	P63146
P55769	P62081
Q9BVP2	Q02543
Q99459	Q13243
P19338	P61247
O95232	O43290
P52272	P62241
P35527	P04264
O43290	Q01081
Q12906	P62906
Q12906	P18621
P52272	P62913
P55769	P62888
P31942	P52597
P55769	O75400
P52272	P62750
P52272	P62266
O43395	P09661
P19338	P50914
Q15388	O94826
Q16540	Q7Z7F7
P55769	Q14978
Q12905	Q02878
P62736	P62906
Q9UMS4	O43290
P22087	Q07020
Q12906	P47914
Q8N684	Q14157
P61513	Q01081
P55209	Q99733
Q12906	P46778
Q9NYK5	Q9H9J2
Q96PK6	Q9Y2W1
Q13243	P62995
Q9BVP2	P18124
Q9Y3B7	P52815
Q12905	P18124
Q9BYD1	Q9NX20
Q9NQ50	Q9Y6G3
Q9NR30	P46777
O43395	O75934
Q12905	P62241
Q9Y2X3	P62847
Q12905	P62829
P19338	P62753
Q6P2Q9	O43290
Q15388	O96008
O43237	P51808
P63146	P62987
Q9BPX3	Q9NTJ3
P60228	Q7L2H7
P09001	Q9BYD1
P62736	Q07020
Q9BQG0	P18124
P12814	O43707
Q68E01	Q9NRY2
Q9Y2X3	Q02878
P52272	P62424
Q00839	P05386
Q9Y2X3	P46777
P05141	P61513
P84098	O76021
P06748	P62701
Q15003	Q9NTJ3
Q9Y2X3	P36578
Q9BVP2	P61313
Q9UFC0	O43913
Q96DV4	Q9H9J2
Q9BT78	Q9H9Q2
Q7Z2W9	Q9NQ50
Q00839	P84098
P06748	P50914
Q08211	P62899
O60264	Q8TAQ2
O14979	P55795
P11021	P07237
P19338	Q02878
O75533	O43290
P49411	Q02878
Q12906	Q07020
Q8WTW3	P83436
Q9BZE1	Q4U2R6
P09234	P62304
Q9P015	Q9BYC8
Q12906	P62266
O14802	Q9BUI4
P08579	Q9UQ35
Q15029	Q69YN4
O14979	P31942
Q9NYK5	Q13405
Q9NYK5	P82933
Q00839	Q02878
Q99460	P54727
Q00839	Q9Y2W1
P07951	P06753
Q00839	P62424
P09493	P06753
Q92499	Q52LJ0
P17844	Q15459
Q13123	Q96FV9
P55769	P62277
P55769	P61313
Q15459	Q53GS9
Q9Y276	P47985
P11021	P08107
P62314	O43290
P23588	P78344
Q9BYD2	Q9NYK5
P68104	P08107
Q9NQ50	P82933
O60506	P09661
Q12906	Q02878
P10809	Q9UHX1
Q00839	Q07020
P52272	P30050
Q08211	Q12905
Q9BZE1	Q9H9J2
P22087	P62263
Q9BYD1	Q6P1L8
O43719	Q8IYB3
P42025	P61163
Q9Y2X3	Q01081
Q13243	Q2TAY7
Q9BYC8	Q9NYK5
P33778	P62805
Q99436	P54727
Q9H0U3	P39656
P10809	P38646
Q9UMS4	Q15459
P17844	P52272
P04908	Q96A08
P09001	Q9NRX2
P14649	P60660
Q12906	P62913
P49411	P32969
P09001	P52815
Q00839	Q9UKM9
O60506	P51991
P04844	Q8TCJ2
Q12905	P18621
P49411	P62750
Q5T653	Q9BYD2
P52272	P62899
Q12906	P62910
P19338	Q02543
Q13200	P54727
Q00839	P23396
Q6IAA8	Q9UHA4
Q12906	P46777
Q14978	P61313
P09001	P82933
P62318	O43290
Q9Y2X3	P61513
Q12905	Q96PK6
P33778	P62807
Q14004	Q9NYV4
P05141	P46777
P22087	P61313
O75533	Q9UQ35
O43143	P84103
O00567	P62847
Q9NR30	O76021
Q9HD33	Q8N5N7
P12236	Q9Y5L4
P17612	P22694
O75934	O75643
P12814	P35609
Q9UKF6	Q6UN15
P63096	P08754
Q02543	P26368
Q96GM5	Q92925
Q8IXM3	Q4U2R6
O60506	P67809
P22087	Q9BVP2
P49411	P84098
P39656	Q8TCJ2
P35609	O43707
P52272	P62277
P15313	P21281
Q9Y224	Q52LJ0
Q9NQ50	Q4U2R6
Q96DV4	P82933
Q9Y248	Q9BRX5
Q9BYD6	Q9Y2R9
Q05519	O14776
P51668	P62837
P05141	P61313
Q12906	P23396
O14979	P26599
Q7Z2W9	Q4U2R6
Q6P1L8	Q96EL3
Q9UFC0	Q13416
Q9NR30	P84098
P05141	P62906
Q12905	P36578
P22087	O76021
P35998	P54727
Q9NS69	O94826
Q12906	P20700
P05141	P50914
P05141	P62899
O00567	P61513
P42025	O75935
P62736	P35579
Q92841	Q08211
Q9BYD3	Q9P015
Q92769	Q15022
Q7Z7H8	Q9P015
Q9BQG0	P62847
O43237	Q14204
Q07955	O43290
Q9Y2R9	P82933
Q13885	P68371
Q9UMS4	P62314
Q92620	Q13838
Q12906	P15880
Q12873	O95983
P11142	P30101
Q16630	P33240
P53992	O94855
Q9BVP2	P62829
Q12905	O75533
O60506	Q12906
P52815	Q9BYN8
Q00839	P62277
P63146	O00762
O14979	O43390
Q9BYD1	Q9P015
Q9UMS4	O75643
P52272	Q02878
Q9BVC5	Q9Y224
Q14839	Q9BZK7
Q15393	O43290
P17844	O43143
P19338	P18124
Q4U2R6	Q86TS9
Q9BRJ2	Q4U2R6
Q9BVP2	P62244
P12236	P62072
P17844	P52597
Q9BVP2	P61513
P55769	P15880
O94826	Q9P0U1
Q12906	P61247
P19338	Q07020
Q08211	Q02878
Q9UFC0	Q9UBD5
Q8TDN6	Q99848
P11021	P11142
Q9BYD2	Q9BRJ2
P55209	P46777
Q9H9J2	Q4U2R6
P52272	P50914
P68104	Q9BQG0
Q9UMS4	Q13243
P51991	Q9UQ35
P51531	Q02880
P52272	P62244
Q9NX20	Q96DV4
Q9UNS2	Q9H9Q2
Q12905	P62277
Q12905	P05388
P09661	O43290
P62837	P61081
P52272	P62249
Q9H0U3	Q8TCJ2
P61313	P26368
Q5VWG9	O00268
Q12789	Q969F1
P17844	Q07955
Q9UQ35	Q01081
P05141	P61247
P68104	P67809
Q05519	O43290
P11021	P08238
P55769	P36578
Q00839	O76021
P06748	P62753
Q9BVC5	Q9Y3I0
Q00839	P62753
P05141	P62244
P11021	P30101
P55209	Q02878
Q9Y2X3	P62753
Q96PK6	P46782
Q15388	Q9P0U1
O43395	Q9UQ35
Q9Y3I0	Q52LJ0
Q12906	P62244
P19338	P62249
O15371	Q7L2H7
Q9Y2X3	P62913
P12236	Q3ZCQ8
Q12824	Q02880
Q12905	P62424
P68036	P63146
Q9Y2X3	P61247
Q03164	P49848
O75643	Q69YN4
Q8WWY3	O75533
O43143	Q9Y3B4
Q12905	P62913
O60934	Q9NYB0
Q96DV4	Q13405
P49406	Q96DV4
O43390	Q12905
P13639	P11142
Q9BQG0	P61513
P55769	P61513
Q9BYC8	Q9Y6G3
P22087	P15880
Q7Z2W9	Q9BYC8
Q9BQG0	P62266
P11021	P08865
Q13404	P49459
Q9Y3B7	Q9NX20
Q99848	Q9BVP2
Q9NP97	Q14204
P38919	O94906
Q9BYD1	Q9Y6G3
Q14978	P62750
P17844	P62314
Q9BVC5	Q92499
P55209	P61313
Q9NP97	P63167
Q13547	O60264
Q15819	P63146
Q14978	Q02543
Q15287	Q9BRP8
P52815	Q9P015
Q05519	Q2TAY7
Q9BVP2	P55769
Q9UMS4	Q01081
Q96DV4	Q9NYK5
Q9Y2X3	O76021
Q6P1L8	O60783
Q9Y6G3	P82933
P55769	P84098
Q9BVP2	P62753
Q9BQG0	P23396
Q9Y3B4	Q9UMS4
P62736	P62266
P12236	Q9Y5J7
P84103	Q53GS9
Q9BYC8	Q7Z7F7
Q9Y5Q9	Q969F1
Q9BVP2	P84098
P19338	P61313
Q92922	Q02880
Q6P1L8	P82664
O43395	Q16629
P31943	Q9UKM9
P68400	Q09028
O60749	Q9UBQ0
P52272	P05388
Q8WUA4	Q969F1
P55209	P62753
P11940	P62318
Q12905	P62906
Q92499	P52272
Q5VWG9	P49848
P19338	P62701
Q00839	O43290
Q9H9J2	Q9HD33
Q7Z2W9	P82933
Q9Y4W2	Q9NXF1
P82912	O60783
P31943	P31942
Q9BVP2	P36578
Q12905	P62244
P55209	P62906
P49411	P62847
Q12906	P61513
P52272	Q07020
P52272	P46777
P68371	O14980
O00571	Q14498
P22626	Q99729
P46777	Q71U36
Q92552	P51398
Q7Z7F7	P82933
P31943	Q12905
P62314	O75934
Q9Y262	Q7L2H7
Q9UP83	Q96MW5
Q12906	P35268
O14979	P31943
Q9BYD2	Q9P015
O15294	P62136
P55769	P62829
Q00839	P62249
Q92499	O14980
P17844	P38159
Q9NX24	Q9Y2X3
Q14103	Q9UKM9
Q8WTW3	Q9UP83
O60264	Q92922
Q9BYD1	Q16540
Q12906	P19338
Q9Y676	P82663
O43390	O43290
Q16629	P62995
Q8IXM3	Q86TS9
Q9NP97	P63172
Q9BVC5	Q52LJ0
O00567	P36578
P52272	P62280
Q9Y2X3	P62263
Q96A35	Q9NYK5
Q9P015	Q8N5N7
Q12906	P62829
P55209	P32969
P83436	Q96MW5
Q9BYD1	Q7Z7F7
Q9BYD1	Q9BRJ2
Q9UGU5	Q09028
P05141	Q07020
Q12906	P08708
P62263	Q01081
Q969G3	Q92925
Q86W42	P26368
P49406	Q9NQ50
P55209	P62899
Q9Y383	P84098
Q12905	P50914
O14979	P52597
P84103	P62995
O43290	Q9UQ35
P17844	Q15393
Q96A35	Q4U2R6
Q9Y399	Q9Y3D3
Q9Y2X3	P62241
P09651	P62241
P55884	Q7L2H7
Q9BYC8	Q9NQ50
Q86W42	Q15029
O14979	Q14103
P07237	P23284
Q9Y3D0	Q96T76
P28370	O60264
Q9H0H0	Q9NVH2
Q16540	Q9Y6G3
O60506	Q9NZI8
Q9BYD2	Q9NQ50
P09001	Q7Z7H8
Q9Y2V7	Q96MW5
Q9Y4Z0	Q99633
Q8WWY3	Q15393
Q00839	Q92900
Q12905	P84098
P49411	P50914
Q14498	O75934
Q12906	P62424
O60506	O43390
P49411	P30050
Q9BUJ2	Q12905
O00571	Q13243
Q9P015	Q9NX20
Q9H9C1	Q96JC1
Q15185	Q9BUR4
Q12906	Q7Z7H8
P62847	Q01081
P13639	P11940
Q12905	P46778
P19338	P36578
O43395	P49756
Q86TS9	Q7Z7F7
O00571	Q13242
Q9NR30	P62266
P68036	Q15819
Q13123	Q07955
P52815	Q8IXM3
Q8IXM3	P82933
Q16630	Q14157
Q12906	P83731
Q9Y3B7	Q9NQ50
Q641Q2	Q2M389
Q9NUG6	Q9UHV9
O76021	P62277
Q92841	Q07955
Q15287	Q2TAY7
Q12906	P18124
P78344	Q15056
O00567	Q01081
Q9BZJ0	Q6P2Q9
Q5T653	Q9BZE1
Q14137	P62081
Q9UQ35	Q86W42
Q86W42	Q01081
Q9UNM6	P54727
Q96DV4	Q4U2R6
O75821	Q7L2H7
P52272	P11387
Q92841	P84103
Q12905	Q07020
Q13523	Q6P2Q9
O95782	O94973
Q14746	Q96MW5
P68104	P04406
P17844	O60506
Q01081	Q6NZY4
Q9BQG0	O76021
Q99848	P62899
Q99848	P46777
Q12905	P23396
Q08211	P46777
P62081	Q01081
Q9Y5L4	Q3ZCQ8
Q9H9J2	Q8N5N7
Q9BYC8	Q9BYN8
Q12905	P62917
O94906	O43395
O43395	Q15459
P52272	P62081
O60832	Q15185
Q2M389	Q12768
Q07955	P62995
P05141	P62266
P55209	P62913
Q99848	Q9Y2X3
Q9Y2X3	P62888
P55769	P62263
O00567	P15880
P09001	Q9H2W6
Q92841	Q15459
Q6P2Q9	Q2TAY7
Q9Y5S9	Q13838
P05141	Q02878
P23246	P26368
P19338	P62847
Q12905	P27635
Q6P1L8	Q9P015
Q8N983	Q9HD33
P13645	P04264
P62136	P62140
Q99459	Q01081
Q8WTW3	Q14746
Q8WWY3	P08579
Q9Y3B7	Q9BYC8
P51532	Q02880
Q16540	Q86TS9
Q99459	Q15029
Q08211	P62847
P82933	Q9Y3D3
Q14204	P63172
P10809	P08107
P07437	O75643
O75533	P62995
Q9BYD1	Q9NYK5
Q9BYC8	Q86TS9
Q8N5N7	P82933
Q12906	P62701
Q14746	Q9UP83
Q9BYD1	Q9Y2Q9
Q9NRL2	Q09028
Q92841	Q15029
Q04637	P78344
Q9Y2X3	P62244
P22626	P62081
Q13435	Q96FV9
O43395	Q15428
Q16540	O60783
Q14978	P84098
P09661	O14776
O14979	Q13151
O15294	P62140
P55209	P50914
P78344	O43432
Q9BQG0	P62241
Q08211	P32969
O60506	Q9UKM9
P52815	Q16540
Q9Y6G9	Q14204
P06748	P83731
Q00839	P62241
Q12830	Q9UGU5
P11021	P23284
P09661	P23246
P31942	P22626
Q08211	O00567
P52272	P15880
P49406	Q7Z2W9
Q9BVP2	P62241
P09429	Q969G3
P51668	P63146
P11940	O75643
Q13084	Q9BYC8
P51610	P62140
P05141	P62847
O60506	Q07955
P09001	Q9Y6G3
Q9BZJ0	Q14562
P50570	Q13492
Q04637	O43432
P19338	P15880
Q7Z7H8	Q9BYD1
P55769	P62899
Q9BQG0	P36578
P55769	O76021
Q14978	Q02878
P05141	P62753
P55769	P62995
P49411	P61313
Q13347	Q7L2H7
Q8WTW3	Q9Y2V7
Q8TAQ2	Q02880
Q9Y2X3	P18124
O43143	P62316
P04899	P08754
P05141	P15880
Q12906	P62753
O43660	Q14498
Q9H9Y6	O15446
O00268	Q9HBM6
Q13347	Q9Y262
P52815	Q86TS9
P62837	Q13404
O43660	O43172
Q2M389	A8K0Z3
Q96JB2	P83436
O43143	Q15459
Q96JB2	Q9UP83
O43143	Q07955
P17844	Q01081
Q9Y6G9	P63172
Q16629	O43290
Q12906	P62750
P06748	Q02878
P52272	P62263
P55769	P62266
Q9BYD1	Q86TS9
Q9BYD2	Q96DV4
A4D2B8	P54278
Q9NYK5	Q7Z7F7
Q5VWG9	Q15542
Q12905	P15880
O60506	Q9UQ35
Q12906	P30050
O96019	O14497
Q8WUB8	Q12824
P00533	Q13492
Q96EL3	Q9Y2Q9
Q86W42	O75643
O00571	Q6P2Q9
P49411	P62753
Q13523	Q15029
O75533	P23246
Q9NX20	Q9NWU5
Q12905	Q15427
P62263	P11387
Q6UX04	Q13573
Q9NR30	P18124
Q99459	O43143
Q12905	P32969
Q12873	Q16576
O00203	Q92572
Q5T653	Q9BYD3
Q9BYD6	Q7Z7H8
Q5T653	Q16540
Q15393	Q2TAY7
Q9UKV3	Q08211
P49411	P62910
P55884	Q9Y262
Q8TAQ2	Q92925
P52272	O43395
Q4U2R6	Q7Z7F7
Q9Y6G3	Q9BYN8
Q9BYD6	Q9Y3B7
Q5T653	Q6P1L8
Q5T653	Q96A35
Q16630	Q9Y2W2
Q6P2Q9	O43395
Q99848	P62753
O95456	Q969U7
Q9BYC8	Q9BRJ2
Q9UMS4	P49756
O75533	Q96FV9
O60231	Q9Y333
P05141	P62829
P22087	Q01081
Q92620	Q13573
Q00839	P18124
P62736	P50914
O95486	O95487
P05141	P62913
P56537	P61513
P60709	P62136
O14497	Q6STE5
Q15428	O43290
P09661	Q9HCS7
Q12906	P11940
Q12874	O43290
Q9BYD3	Q96A35
P41223	Q16629
Q13404	O95155
P62736	P62424
P62736	P62244
Q9Y2V7	P83436
Q9BZJ0	O75643
Q9BZE1	Q9NQ50
Q14204	P51808
P55209	P30050
A4D2B8	P54278
Q12905	P62266
P05141	P46778
P62277	Q01081
Q8IXM3	Q9Y6G3
Q8IXM3	Q9Y2Q9
O75376	Q969G3
O43390	Q9UKM9
Q14978	P62913
O43390	P38919
Q8IXM3	Q7Z7F7
Q9Y383	P61313
P52815	Q9Y6G3
Q99848	O00567
P17844	P26368
Q8WUB8	P51531
Q15003	Q9BPX3
P31942	Q9BUJ2
Q9UKM9	Q96DI7
P07910	O43290
Q8WUB8	Q96GM5
Q9BYD2	Q7Z7F7
P09651	P61247
P05141	P62424
P19338	P62266
Q9UNP9	Q15428
P17844	O43290
P35606	Q9UBF2
Q9P015	Q9BRJ2
Q99848	P22087
P49756	Q01081
Q9Y3D3	Q9BYN8
P49411	P61513
Q9UP83	Q9Y2V7
Q6P161	Q9Y2R9
O43395	P09234
Q9UMS4	O75934
P05141	P62750
P55209	P06748
P38159	P38919
P52272	Q9UMS4
P11940	O43290
P49406	Q9NYK5
Q7Z7H8	Q9Y3B7
Q99459	Q6P2Q9
P38919	P08579
Q7L014	Q05519
Q12906	P61313
Q92616	Q07955
O43390	Q12906
Q16540	Q8IXM3
P31942	P09651
P52272	P27635
P52272	P84098
Q13084	Q8IXM3
Q15459	Q9UQ35
Q9BYD1	Q96A35
Q9Y399	P82933
Q9NR33	O43318
P52272	P62829
O43143	P11940
Q13243	Q9UQ35
O43237	P63172
O75376	Q09028
P42285	Q13573
P48729	Q99755
O43143	Q13573
Q9UMS4	Q15029
Q9NR30	P09874
O95232	Q2TAY7
Q9ULR0	O43660
Q12906	Q02543
P17844	O75400
