Gene1	Gene2
P05198	P20042
O75821	Q9UBQ5
P14866	P22626
P14866	P26599
P08648	P05556
P53618	O14579
Q12962	Q15543
Q07955	Q01081
P43686	O00231
P17980	Q9UNM6
P43686	Q9UNM6
P35998	Q9UNM6
P43686	P51665
P62195	P51665
P43686	Q99460
P43686	Q13200
Q9UNM6	Q13200
P62191	Q15008
P17980	Q15008
P43686	Q15008
P35998	Q15008
P62195	Q15008
O00231	Q15008
P55036	Q15008
Q6P2Q9	Q15029
Q9UNM6	P55036
O75832	P55036
P51946	P51948
P62191	O75832
Q9UJX2	P30260
Q99613	O15372
P62191	P43686
P51665	P55036
Q14152	O15372
P49848	P20226
O14777	Q8NBT2
P55884	O15372
Q9UJX4	P30260
P17980	O75832
P35251	P35249
Q9UJX5	Q13042
O95400	Q6P2Q9
O95400	Q96DI7
O00268	P20226
Q9P086	Q9NX70
Q9BTT4	Q9P086
O76071	Q9Y3D0
P25788	O14818
P28074	Q99436
P49720	Q99436
Q9Y333	Q9UK45
Q9UBE0	Q9UBT2
Q15819	P61088
P43246	P20585
Q9Y333	O95777
O95347	Q9NTJ3
P43246	P52701
P19022	P35221
P30154	P67775
P19447	Q13889
P19022	P14923
P62310	Q9UK45
P33240	Q12996
O43809	Q16630
Q13111	Q13112
P78527	Q13426
Q92905	Q7L5N1
P02794	P02792
Q15233	P23246
Q99459	O43660
O43447	O43172
Q9UBQ5	Q9Y262
O43747	P61966
Q9Y2Q5	Q9UHA4
O95983	O94776
O14497	P51532
O00303	Q7L2H7
P51532	Q969G3
Q13098	Q9UNS2
P60842	O43432
Q92769	Q09028
O60244	Q15648
Q15648	Q96G25
Q92878	Q9NYB0
Q13619	Q16531
Q92769	Q16576
Q13620	Q16531
Q8NFD5	P51531
O96019	P51532
P61201	Q92905
P33897	P28288
Q8NFD5	P51532
Q9UIG0	O60264
Q96ES7	O75528
P14678	P62314
Q92905	Q9UBW8
P51610	O15294
P61201	Q7L5N1
Q14738	P30154
Q9H9E3	P83436
P27986	P42338
Q9UP83	P83436
Q86V81	Q13838
Q9H9E3	Q9UP83
P61604	P10809
Q8WTW3	Q9H9E3
Q7L5N1	Q99627
Q9UNS2	Q7L5N1
P60842	P78344
Q13547	Q13330
Q9UHX1	P26368
Q14103	P11940
Q9UJX3	Q13042
P30153	Q13033
Q12962	Q15545
O96019	Q9Y4A5
P08107	Q9UNE7
Q9BT78	Q7L5N1
P62826	Q92973
Q96S44	Q9Y3C4
P55039	Q9H446
Q8TAT6	Q92890
O43583	Q9ULC4
Q9UBP6	P57081
Q9BPX5	P59998
Q96A72	Q9Y5S9
P21333	O75369
Q96IJ6	Q9Y5P6
Q9P287	P62829
Q08211	Q9UBU9
Q14919	Q01658
Q9P0W2	P08670
Q01844	Q9Y676
O60232	P48643
Q96KP1	Q96A65
P62195	O00231
P62195	Q13200
P62829	P62753
P51532	Q8TAQ2
Q9UI10	Q13144
Q13144	Q9NR50
P62195	O43242
P35606	Q9Y678
Q9Y5B9	Q08945
Q92922	Q12824
Q16594	P20226
Q13868	Q9NQT5
O60216	Q9UQE7
Q96A65	Q8IYI6
Q14181	P49642
Q13547	O94776
Q13547	Q86YP4
Q14181	P49643
P51610	P61964
Q9BS18	Q9UJX5
Q12873	O94776
P60842	Q15056
Q9UBL3	P61964
Q9BS18	P30260
Q9UNM6	Q16401
Q9BS18	Q8NHZ8
Q9BS18	Q9UJX4
Q9BS18	Q9UJX2
Q9BS18	Q9UJX3
P61158	O15144
P61158	P59998
Q9NPD3	Q01780
Q9Y333	P62312
Q15542	Q16594
O15145	P59998
P61158	O15145
P61160	P61158
P59998	O15511
P11388	Q02880
P49770	Q9UI10
Q9NQT4	Q01780
Q9UHV9	Q9NQP4
P49848	Q16594
O15144	P59998
P09493	P07951
Q9P086	Q96G25
Q9NRF9	Q9NR33
P48444	Q9Y678
Q71U36	Q13885
P21675	Q15545
P08107	P11142
P13804	P38117
P06576	P36542
Q96KP1	O60645
P53597	Q96I99
P60228	Q9Y262
P41208	Q01831
O75817	O75818
P25705	P36542
O95983	Q16576
P10515	P08559
P16144	Q15149
Q9UBF2	Q9Y678
Q8WTW3	Q96JB2
O96019	P51531
Q93074	Q96G25
Q14746	Q96JB2
Q9NRG0	O60264
O95983	Q09028
Q8IYB3	Q9UQ35
O00268	P49848
O95983	Q86YP4
P53618	Q9UBF2
Q9NPD3	Q96B26
O14981	P20226
O00268	Q16594
P62258	P63104
Q9UM13	Q9UJX3
Q92841	P17844
Q9BT78	Q99627
O95400	P14678
Q9UM13	Q9H1A4
Q9UJX6	Q9UJX2
Q14152	Q99613
O60645	O00471
Q9Y333	Q9Y4Z0
Q9Y4Z0	P62312
P62333	P62191
P35998	P62195
P62333	P25786
P62191	P25786
P25787	P28066
P25786	P60900
P25786	P20618
P25787	P20618
P25787	P49721
P25786	P49720
P25787	P49720
P25786	P28070
P25787	P28070
P25786	P28072
P25787	P28072
P25786	Q99436
P25787	Q99436
P25789	Q99436
P49721	Q99436
P62333	O00232
O75832	Q9UNM6
P62333	O00487
P62191	Q99460
P62333	Q13200
O00487	P55036
P25786	Q15008
P25788	Q15008
Q99436	Q15008
P51665	P48556
P62913	P62829
P46777	P62266
Q12904	Q15046
P49721	P28074
P24928	P30876
Q6P2Q9	O75643
Q10567	Q9BXS5
P55884	Q99613
P25786	P28066
P24928	P36954
O95602	O15160
P49720	Q15008
P53621	P53618
P09884	P49642
Q99436	Q99460
P60900	Q15008
Q9UJX6	Q13042
Q13155	P41252
O75533	Q13435
Q9P2J5	P54136
Q13155	P54136
O14802	Q9Y535
Q15436	P55735
O75533	Q9BWJ5
O75533	Q15427
Q9BWU1	Q9BUE0
P35250	P40938
Q15428	Q12874
Q15428	Q15393
O00487	P48556
Q13503	O75586
Q13155	P47897
P09884	P49643
P33991	P33992
P31040	P21912
Q9BZI7	Q15287
O15371	O00303
P52294	Q14974
Q99436	P28062
Q8WUA4	Q9Y5Q8
Q12840	Q9H0B6
Q7RTV0	O75533
Q8WUA4	Q9Y5Q9
Q9NW08	P05423
Q9UJX6	Q9UJX5
P52434	P05423
P40306	P49720
P25787	P28062
O43747	Q9BXS5
O75489	P19404
Q15428	O75533
Q9BUE0	Q9NPJ6
O75306	P19404
O75306	O75489
Q8NBT2	Q9HBM1
P55884	O00303
Q9BUE0	Q15648
P24928	P35269
P62304	P62314
Q13435	Q15393
O60244	Q13503
O43390	P09651
O00303	Q9UBQ5
O00303	Q13347
Q99460	Q16401
Q9Y5Q9	Q9UKN8
O14802	P05423
P05423	Q9Y535
P60228	O00303
P62310	Q9Y4Z0
P24539	P30049
O43678	P17568
O00303	O75821
Q15648	Q13503
Q9NW08	Q9Y535
P19388	P30876
P35606	O14579
P15313	Q93050
Q9UJX4	Q9UJX2
P84243	P62805
Q07864	P56282
Q14203	Q14204
Q15428	Q13435
Q15648	O75448
Q9BWU1	Q9Y2X0
P61978	P26599
P51665	Q16401
P31943	P22626
Q9UJX4	Q13042
O43678	Q9UI09
Q9UM13	Q9UJX5
Q9BS18	Q13042
O43678	O75380
P62304	Q8IYB3
Q9H1A4	Q8NHZ8
Q9Y5S9	Q15287
Q13888	Q92759
Q9BUE0	Q13503
P05198	P41091
Q9Y333	Q9Y4Y9
P62191	O14818
P19387	O15514
O15514	P62487
Q13155	P07814
Q9UHB9	O76094
P24928	O15514
P35606	P48444
Q12904	Q13155
P53621	P48444
Q96KP1	Q9UPT5
O75251	P03886
Q9Y5Q9	Q9Y5Q8
P30876	O15514
P25205	P33991
O60925	Q9UHV9
Q9NQT4	Q06265
P50613	P18074
Q12962	Q16594
A5YKK6	O75175
Q9UGJ1	P23258
O43292	Q9H490
Q09028	Q16576
P61978	P67809
Q08211	Q6P2Q9
Q14697	P14314
Q02241	Q9H0H5
P47914	Q02878
Q9UJX6	Q9UJX3
O60645	Q96A65
Q6PD62	Q8WVC0
Q9Y4Z0	Q9UK45
Q8WVC0	Q8N7H5
P62333	P17980
P62333	P43686
P62333	P35998
P62333	Q99460
P62913	P46777
P62829	P46777
Q9NPF5	Q9Y230
P51532	Q96GM5
Q8TAQ2	Q96GM5
Q6PD62	Q8N7H5
Q8TAQ2	Q12824
O95163	Q9H9T3
Q9P086	Q15648
Q99613	O00303
Q15648	Q9NPJ6
Q9Y230	Q6ZRS2
O43172	O43395
O15371	P60228
P35606	P53618
P52434	Q9Y535
Q9Y4Z0	O95777
Q9NPF5	Q9Y265
Q92922	Q96GM5
O00303	O15372
P14678	P62304
O14497	P51531
O43660	O75934
Q9ULG1	Q9Y265
Q14152	Q7L2H7
Q92769	O95983
Q9NS69	O96008
Q14738	P30153
O95602	P52434
Q9H981	Q9ULG1
Q14152	Q9Y262
P14866	P09651
O15372	Q7L2H7
Q14240	O43432
Q6P1J9	Q8WVC0
Q15648	Q6P2C8
P31943	P09651
O14497	Q8TAQ2
Q6P1J9	Q8N7H5
Q6P1J9	Q6PD62
Q14839	Q92769
P31943	P55795
Q9BWU1	Q15648
Q9UNE7	Q13404
P49790	Q9UKX7
P24539	P36542
Q9Y2X0	Q15648
Q12840	Q07866
P61978	P09651
Q92769	O94776
P14678	P62316
O14497	Q969G3
Q15648	O75586
P52272	P09651
Q9Y265	Q9Y4A5
Q9UJX5	Q9UJX3
Q15543	Q15542
Q9UBU8	Q9Y230
P09661	Q15428
O96019	Q969G3
O43678	Q9Y6M9
O43678	Q9NX14
P09651	P22626
Q15543	O00268
Q92905	Q9H9Q2
P51532	Q92925
Q13033	O43815
Q15021	O95347
P62312	Q9UK45
Q15021	Q9NTJ3
Q16181	Q9UHD8
P21675	Q6P1X5
Q96AX1	Q9H269
Q96AX1	Q9P253
Q9H269	Q9P253
Q15542	Q15545
Q13596	Q9UNH7
P61201	Q9UNS2
P62312	O95777
Q9UNS2	Q9BT78
Q15388	Q9NS69
Q8TBC4	Q13564
Q92769	O60264
O15371	Q9Y262
O96008	Q9P0U1
Q9NS69	Q9P0U1
Q9Y4Y9	Q9UK45
Q9UNS2	Q9UBW8
Q15910	Q15022
Q13098	Q9UBW8
P61201	Q99627
P06748	P19338
P68400	Q92769
Q13098	P61201
Q9UIG0	Q8TAQ2
Q9UNS2	Q99627
P52701	P12004
P41250	P41252
P63241	O14980
P63027	Q9P0L0
P33993	Q14683
P05556	Q9Y490
O60684	Q14974
P04406	P00558
P56537	Q02878
Q99598	Q15631
P61970	P62826
P36873	Q12972
P62136	Q12972
P27824	P14314
P38432	Q16637
P25205	P15927
Q6PD62	Q92541
P51665	P54578
Q8WVC0	Q92541
Q8N7H5	Q92541
P43686	P54578
Q9UNM6	P54578
P62333	P54578
O00232	P54578
O00487	P54578
P17980	P54578
Q13200	Q9Y5K5
P07910	Q9UHX1
Q5VSL9	Q9NRL3
P35998	Q9Y5K5
Q96FX7	Q9UJA5
P33240	Q92499
O60749	Q9UNH7
Q9UMX0	Q9NRR5
P52272	O14776
Q05519	P11387
Q9UI10	Q9NR50
O75821	Q13347
O00471	Q8IYI6
Q06265	Q01780
P61758	Q9NQP4
P61758	Q99471
Q9NQP4	Q99471
P61758	O15212
P62191	P17980
P43686	P25786
P17980	P25787
P43686	P25787
P62191	P25788
P43686	P25788
P43686	P28066
P62191	P60900
P17980	P60900
P17980	O14818
P43686	O14818
P35998	O14818
P62195	O14818
P43686	P20618
P43686	P49721
P62191	P49720
P17980	P49720
P43686	P49720
P35998	P28074
P43686	P28072
P43686	Q99436
P49721	O00231
P17980	O00232
P43686	O00232
P28074	Q9UNM6
P17980	Q13200
P43686	O43242
P28074	O43242
P28072	O43242
P17980	P55036
P43686	P55036
P28072	Q15008
P43686	P48556
P35998	P48556
P62195	P48556
P62906	P62913
P62906	P30050
P62906	P26373
P62913	P26373
P30050	P26373
P62913	P50914
P30050	P61313
P62913	P18621
P30050	P18621
P62913	Q02543
P30050	Q02543
P18621	Q02543
P62906	Q07020
P62913	Q07020
P18621	Q07020
Q02543	Q07020
Q07020	P84098
P62913	P46778
P30050	P46778
Q07020	P35268
P84098	P35268
P62913	P62750
P46778	P62750
P62906	P62829
P30050	P62829
Q07020	P62829
P84098	P62829
P30050	P83731
Q07020	P83731
P46778	P83731
P35268	P83731
P62750	P83731
P26373	P46776
P84098	P46776
P62750	P46776
P30050	P47914
P84098	P62888
P62913	P62899
Q07020	P62899
P84098	P62899
P83731	P62899
P61313	P62910
P84098	P62910
P46778	P62910
P62913	P61513
P30050	P61513
Q07020	P61513
P46778	P61513
P35268	P61513
P62899	P61513
Q07020	P39023
P84098	P39023
P62750	P39023
Q07020	P36578
P84098	P36578
P46778	P36578
P84098	P46777
P83731	P46777
P61513	P46777
P62906	Q02878
P27635	Q02878
P30050	Q02878
P18621	Q02878
P46778	Q02878
P62829	Q02878
P46777	Q02878
P62913	P62424
P30050	P62424
Q02543	P62424
P84098	P62424
P46777	P62424
P30050	P18124
Q02543	P18124
Q07020	P18124
P46778	P18124
P62750	P18124
P62829	P18124
P46777	P18124
P18621	P62917
P46778	P62917
P62750	P62917
P39023	P62917
P36578	P62917
P62424	P62917
P27635	P32969
P62913	P32969
P30050	P32969
Q07020	P32969
P46778	P32969
P62910	P32969
P36578	P32969
P46777	P32969
Q02878	P32969
P27635	P46783
P61353	P46783
P32969	P46783
P62913	P62280
P61313	P62280
P62899	P62280
P36578	P62280
P46777	P62280
P05387	P62280
P50914	P25398
P32969	P25398
P62906	P62277
P62913	P62277
P30050	P62277
P50914	P62277
Q07020	P62277
P83731	P62277
P61353	P62277
P62899	P62277
P61513	P62277
Q02878	P62277
P32969	P62277
P62280	P62277
P84098	P62263
Q02878	P62263
P32969	P62263
P62277	P62263
P27635	P62244
Q07020	P62244
P62899	P62244
P46777	P62244
P18124	P62244
P46783	P62244
P62277	P62244
P05386	P62841
P62906	P62249
P30050	P62249
P50914	P62249
Q07020	P62249
