PPI,ClusterSize,ClusterScore
breast - glandular cells,312,0.103428739223
breast - glandular cells,9,0.41513849558
breast - glandular cells,71,0.0981725110431
breast - glandular cells,107,0.0610066045476
breast - glandular cells,825,0.0629605015237
breast - glandular cells,785,0.0130679855684
breast - glandular cells,304,0.0616836429993
breast - glandular cells,6,0.248301132423
breast - glandular cells,7,0.575635565005
breast - glandular cells,13,0.307057163646
breast - glandular cells,5,-0.159456046613
breast - glandular cells,31,0.463421913013
breast - glandular cells,53,0.380796348409
breast - glandular cells,8,0.661681703206
breast - glandular cells,8,0.476277831366
breast - glandular cells,4,0.617933289032
breast - glandular cells,4,0.348100000178
breast - glandular cells,4,0.6209653995
breast - glandular cells,4,0.701589084323
breast - myoepithelial cells,231,0.289913589708
breast - myoepithelial cells,421,0.108662199932
breast - myoepithelial cells,343,0.0178483631683
breast - myoepithelial cells,1658,0.116433081862
breast - myoepithelial cells,307,0.106957252582
breast - myoepithelial cells,9,0.41513849558
breast - myoepithelial cells,214,0.0660638371308
breast - myoepithelial cells,112,0.0621519059933
breast - myoepithelial cells,778,0.0641826194854
breast - myoepithelial cells,787,0.0156380541154
breast - myoepithelial cells,1058,0.163876984105
breast - myoepithelial cells,21,0.110763112381
breast - myoepithelial cells,7,0.575635565005
breast - myoepithelial cells,5,-0.159456046613
breast - myoepithelial cells,32,0.457181291769
breast - myoepithelial cells,8,0.476277831366
breast - myoepithelial cells,53,0.380796348409
breast - myoepithelial cells,17,0.172202032434
breast - myoepithelial cells,8,0.661681703206
breast - myoepithelial cells,4,0.525786989923
breast - myoepithelial cells,4,0.617933289032
breast - myoepithelial cells,4,0.348100000178
breast - myoepithelial cells,4,0.6209653995
breast - myoepithelial cells,4,0.701589084323
cerebellum - Purkinje cells,231,0.289913589708
cerebellum - Purkinje cells,425,0.122886782529
cerebellum - Purkinje cells,1154,0.146048552752
cerebellum - Purkinje cells,1608,0.120902983685
cerebellum - Purkinje cells,308,0.105365943696
cerebellum - Purkinje cells,9,0.41513849558
cerebellum - Purkinje cells,258,0.0560214068004
cerebellum - Purkinje cells,190,0.000538847083809
cerebellum - Purkinje cells,813,0.0645700292184
cerebellum - Purkinje cells,930,0.0123764036965
cerebellum - Purkinje cells,55,0.201360127777
cerebellum - Purkinje cells,7,0.575635565005
cerebellum - Purkinje cells,5,-0.159456046613
cerebellum - Purkinje cells,7,-0.0331285857563
