PPI,ClusterSize,ClusterScore
Amygdala,492,0.00726570191234
Amygdala,36,0.239839547745
Amygdala,4,-0.0323374068964
Amygdala,4,0.0
Amygdala,419,0.143198412053
Amygdala,20,-0.0693933632525
Amygdala,268,0.165471639672
Amygdala,4,0.742242248547
Amygdala,19,-0.0262933924998
Amygdala,4,0.636357391768
Amygdala,9,-0.114159413129
Amygdala,4,0.0
Amygdala,4,0.138261760129
Amygdala,5,-0.130988839138
Amygdala,6,-0.265575850309
Amygdala,7,0.0262804948203
Amygdala,9,0.0442634760337
Appendix,3644,0.11042463345
Appendix,849,0.192654662712
Appendix,821,0.129716021919
Appendix,104,0.230909494312
Appendix,850,0.153231704863
Appendix,319,0.0667467893815
Appendix,323,0.00725923682928
Appendix,1576,0.0870286223096
Appendix,913,0.129008138054
Appendix,1154,0.13068863031
Appendix,670,0.00758106361564
Appendix,558,0.0745198402116
Appendix,39,-0.0226914784491
Appendix,4,0.0
Appendix,348,0.140426578147
Appendix,36,0.0347845760871
Appendix,266,0.180195367142
Appendix,9,-0.0194804486953
Appendix,168,0.194190501061
Appendix,4,0.636357391768
Appendix,9,-0.114159413129
Appendix,6,-0.201668925393
Appendix,4,0.138261760129
Appendix,5,-0.130988839138
Appendix,6,-0.265575850309
Appendix,7,0.0262804948203
Appendix,9,0.0442634760337
Appendix,4,0.0
AtrioventricularNode,2145,0.122424266969
AtrioventricularNode,497,0.211434933043
AtrioventricularNode,541,0.00746706748132
AtrioventricularNode,585,0.0349952964613
AtrioventricularNode,1626,0.0990335057807
AtrioventricularNode,759,0.0857247149953
AtrioventricularNode,3084,0.118825823397
AtrioventricularNode,622,0.163332573063
AtrioventricularNode,829,0.148670364384
AtrioventricularNode,352,-0.000881155664059
AtrioventricularNode,707,0.0724522806011
AtrioventricularNode,4,-0.0323374068964
AtrioventricularNode,4,0.0
AtrioventricularNode,615,0.103143619461
AtrioventricularNode,11,0.166474145223
AtrioventricularNode,267,0.165471639672
AtrioventricularNode,4,0.742242248547
AtrioventricularNode,4,0.636357391768
AtrioventricularNode,9,-0.114159413129
AtrioventricularNode,4,0.0
AtrioventricularNode,4,0.138261760129
